Name,Y,ID
CPD_01-b,6.77,1
CPD_02-b,6.796,2
CPD_03-b,6.699,3
CPD_04-b,6.854,4
CPD_05-b,6.119,5
CPD_06-b,6.77,6
CPD_07-b,6.201,7
CPD_08-b,6.201,8
CPD_09-b,7.444,9
CPD_10-b,6.886,10
CPD_11-b,7.699,11
CPD_12-b,6.26,12
CPD_13-b,6.854,13
CPD_14-b,7.131,14
CPD_15-b,6.284,15
CPD_16-b,5.745,16
CPD_17-b,6.137,17
CPD_18-b,6.585,18
CPD_19-b,6.658,19
CPD_20-b,6.284,20
CPD_21-b,6.678,21
CPD_22-b,5.959,22
CPD_23-b,5.398,23
CPD_24-b,6.481,24
CPD_25-b,6.161,25
CPD_26-b,6.108,26
CPD_27-b,5.658,27
CPD_28-b,5.854,28
CPD_29-b,5.347,29
CPD_30-b,5.824,30
CPD_31-b,5.398,31
CPD_32-b,6.409,32
CPD_33-b,6.569,33
CPD_34-b,6.796,34
CPD_35-b,6.004,35
CPD_36-b,5.921,36
CPD_37-b,7.174,37
CPD_38-b,6.215,38
CPD_39-b,6.102,39
CPD_40-b,6.201,40
CPD_41-b,5.602,41
CPD_42-b,6.921,42
CPD_43-b,5.921,43
CPD_44-b,5.444,44
CPD_45-b,5.921,45
CPD_46-b,5.658,46
CPD_47-b,5.678,47
CPD_48-b,6.658,48
CPD_49-b,6.367,49
CPD_50-b,6.237,50
CPD_51-b,6.0,51
CPD_52-b,5.092,52
CPD_53-b,5.921,53
CPD_54-b,6.071,54
CPD_55-b,6.357,55
CPD_56-b,4.854,56
CPD_57-b,6.337,57
CPD_58-b,7.097,58
CPD_59-b,5.102,59
CPD_60-b,4.796,60
CPD_61-b,6.569,61
CPD_62-b,4.495,62
CPD_63-b,4.602,63
CPD_64-b,4.796,64
CPD_65-b,5.62,65
CPD_66-b,4.538,66
CPD_67-b,6.0,67
CPD_68-b,3.854,68
CPD_69-b,4.538,69
CPD_70-b,3.928,70
CPD_71-b,4.509,71
CPD_72-b,3.0,72
CPD_73,6.721,73
CPD_74,6.585,74
CPD_75,6.495,75
CPD_76,6.215,76
CPD_77,5.886,77
CPD_78,6.357,78
CPD_79,5.721,79
CPD_80,6.149,80
CPD_81,6.509,81
CPD_82,6.009,82
CPD_83,6.796,83
CPD_84,7.569,84
CPD_85,5.745,85
CPD_86,7.638,86
CPD_87,4.585,87
CPD_88,4.337,88
